STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,RIOTS,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,TOTAL IPC CRIMES
ANDHRA PRADESH,ADILABAD,2001,101,60,50,46,9,41,199,78,104,1,30,1131,16,34,175,0,4154
ANDHRA PRADESH,ANANTAPUR,2001,151,125,23,53,8,16,366,168,65,8,69,1543,7,24,154,0,4125
ANDHRA PRADESH,CHITTOOR,2001,101,57,27,59,4,14,723,156,209,9,38,2088,14,83,186,0,5818
ANDHRA PRADESH,CUDDAPAH,2001,80,53,20,25,1,4,173,164,37,2,23,795,17,38,57,0,3140
ANDHRA PRADESH,EAST GODAVARI,2001,82,67,23,49,4,25,1021,70,220,3,41,1244,12,58,247,0,6507
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,1,0,0,5,2,162,1,0,3,0,1,0,0,0,0,287
ANDHRA PRADESH,GUNTUR,2001,182,88,54,82,16,59,1122,244,300,8,43,1792,7,129,378,0,7848
ANDHRA PRADESH,HYDERABAD CITY,2001,111,113,37,80,13,67,2792,65,1293,24,0,3137,24,27,746,0,11831
ANDHRA PRADESH,KARIMNAGAR,2001,162,85,56,67,27,50,392,220,243,5,33,1392,62,81,224,0,5811
ANDHRA PRADESH,KHAMMAM,2001,93,60,47,41,1,13,368,153,130,5,73,1026,17,336,172,0,4582
ANDHRA PRADESH,KRISHNA,2001,65,51,37,36,3,15,478,70,104,1,62,1985,10,72,265,0,4779
ANDHRA PRADESH,KURNOOL,2001,133,72,29,47,6,22,297,84,126,2,5,1547,13,107,92,0,4581
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,67,59,42,8,27,316,157,84,0,0,867,14,41,69,0,4819
ANDHRA PRADESH,MEDAK,2001,101,56,35,26,27,26,286,100,87,4,37,1367,26,25,192,0,3532
ANDHRA PRADESH,NALGONDA,2001,122,60,35,27,6,28,318,220,122,8,72,1132,31,59,214,0,5002
ANDHRA PRADESH,NELLORE,2001,89,69,46,90,12,16,608,97,177,3,65,1119,10,228,287,0,5245
ANDHRA PRADESH,NIZAMABAD,2001,106,49,21,38,7,22,234,51,122,1,30,1383,19,15,228,0,3621
ANDHRA PRADESH,PRAKASHAM,2001,102,82,19,31,15,14,278,138,88,1,43,1266,5,100,119,0,3678
ANDHRA PRADESH,RANGA REDDY,2001,214,95,72,106,24,78,1296,65,527,3,67,2829,37,55,421,7,9867
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,0,0,0,10,296,1,4,25,0,17,1,1,0,0,439
ANDHRA PRADESH,SRIKAKULAM,2001,38,10,8,12,1,4,231,70,53,0,34,679,6,47,108,0,2572
ANDHRA PRADESH,VIJAYAWADA,2001,53,44,25,70,3,27,2057,19,614,10,17,1578,2,122,520,0,6733
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,1,0,0,1,265,1,3,6,0,9,0,1,0,0,320
ANDHRA PRADESH,VISAKHA RURAL,2001,58,29,12,12,4,3,165,138,39,3,31,1476,3,48,99,0,3183
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,10,13,13,1,5,630,9,192,3,15,325,0,462,204,0,3422
ANDHRA PRADESH,VIZIANAGARAM,2001,33,14,8,8,0,2,144,36,41,2,12,529,0,22,121,0,2178
ANDHRA PRADESH,WARANGAL,2001,158,79,53,81,2,23,418,330,137,2,0,1718,52,0,165,0,6319
ANDHRA PRADESH,WEST GODAVARI,2001,77,58,61,41,7,15,1116,96,270,2,32,972,15,56,348,0,5696
ANDHRA PRADESH,TOTAL,2001,2602,1555,871,1182,214,629,16751,3001,5391,144,872,34947,420,2271,5791,7,130089
ARUNACHAL PRADESH,CHANGLANG,2001,11,2,1,3,3,4,24,0,3,0,1,30,0,0,0,0,163
ARUNACHAL PRADESH,DIBANG VALLEY,2001,3,5,2,4,2,5,19,0,0,0,0,27,0,0,2,0,139
ARUNACHAL PRADESH,KAMENG EAST,2001,3,1,2,7,1,6,26,0,1,0,1,36,0,0,0,0,126
ARUNACHAL PRADESH,KAMENG WEST,2001,4,2,0,2,1,0,26,0,4,0,0,27,0,0,0,0,103
ARUNACHAL PRADESH,LOHIT,2001,16,6,2,6,2,8,31,3,2,0,2,40,0,0,0,0,190
ARUNACHAL PRADESH,PAPUM PARE,2001,11,8,9,15,4,29,109,9,8,2,1,84,0,0,3,0,498
ARUNACHAL PRADESH,SIANG EAST,2001,7,0,5,11,4,8,52,1,4,0,1,58,0,0,2,0,243
ARUNACHAL PRADESH,SIANG UPPER,2001,1,1,2,5,0,0,9,1,0,0,2,15,0,0,0,0,56
ARUNACHAL PRADESH,SIANG WEST,2001,5,14,4,17,1,10,72,2,5,0,3,71,0,2,2,0,361
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,8,10,2,6,1,7,25,5,2,0,2,11,0,0,0,0,148
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,4,0,2,1,3,5,20,2,0,0,0,34,0,0,2,0,140
ARUNACHAL PRADESH,TAWANG,2001,2,0,1,0,0,0,13,0,1,0,0,3,0,1,0,0,48
ARUNACHAL PRADESH,TIRAP,2001,8,4,1,6,0,2,17,1,0,2,0,30,0,0,0,0,127
ARUNACHAL PRADESH,TOTAL,2001,83,53,33,83,22,84,443,24,30,4,13,466,0,3,11,0,2342
ASSAM,BARPETA,2001,64,5,28,105,43,45,187,196,29,1,38,266,10,0,95,0,1778
ASSAM,BONGAIGAON,2001,45,22,20,36,13,25,92,87,13,0,12,67,1,0,26,0,810
ASSAM,C.I.D.,2001,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,8
ASSAM,CACHAR,2001,52,30,45,104,29,42,359,533,33,4,64,286,7,0,216,0,3462
ASSAM,DARRANG,2001,61,13,48,64,21,29,185,100,25,0,16,319,9,0,37,0,1454
ASSAM,DHEMAJI,2001,15,16,42,31,2,12,79,13,15,3,16,203,0,0,0,0,652
ASSAM,DHUBRI,2001,65,23,43,69,53,19,83,402,24,1,23,193,5,0,111,0,1505
ASSAM,DIBRUGARH,2001,110,22,35,57,14,29,325,21,12,1,20,351,3,0,19,0,1565
ASSAM,G.R.P.,2001,13,1,1,3,8,16,135,9,0,0,0,35,0,0,0,0,343
ASSAM,GOALPARA,2001,28,12,35,43,37,13,116,129,16,2,4,51,1,0,64,0,873
ASSAM,GOLAGHAT,2001,53,2,30,44,13,27,211,26,20,0,21,135,0,0,26,0,1166
ASSAM,GUWAHATI CITY,2001,71,44,37,129,38,73,736,151,72,7,18,913,5,0,98,0,4373
ASSAM,HAILAKANDI,2001,18,4,24,36,6,8,92,160,14,0,19,60,2,0,28,0,820
ASSAM,JORHAT,2001,40,22,42,37,6,27,230,30,23,5,13,134,2,0,48,0,1190
ASSAM,KAMRUP,2001,37,30,21,95,30,41,275,55,50,1,6,404,2,0,27,0,2011
ASSAM,KARBI ANGLONG,2001,65,26,5,38,12,33,79,90,11,1,24,66,4,0,8,0,721
ASSAM,KARIMGANJ,2001,32,20,33,42,8,5,114,271,8,2,17,68,1,0,30,0,843
ASSAM,KOKRAJHAR,2001,87,27,14,41,14,10,89,50,10,2,6,156,0,0,20,0,776
ASSAM,LAKHIMPUR,2001,26,21,64,72,15,47,195,106,71,0,0,386,0,0,93,0,1779
ASSAM,MORIGAON,2001,20,9,23,39,15,10,66,79,7,1,5,31,0,0,28,0,731
ASSAM,N.C.HILLS,2001,17,8,2,8,4,5,30,4,3,0,3,22,0,0,7,0,187
ASSAM,NAGAON,2001,95,22,51,119,59,33,491,267,35,6,41,513,1,4,132,0,3202
ASSAM,NALBARI,2001,79,36,30,53,15,39,119,4,18,3,21,172,3,0,15,0,1194
ASSAM,R.P.O.,2001,11,0,3,2,13,2,29,13,1,0,0,0,0,0,0,0,101
ASSAM,SIBSAGAR,2001,59,24,47,64,3,41,343,50,29,5,21,286,0,0,0,0,1643
ASSAM,SONITPUR,2001,86,25,53,87,27,21,356,85,21,1,32,451,1,0,99,0,2309
ASSAM,TINSUKIA,2001,107,17,41,62,34,35,350,22,10,0,1,237,2,0,21,0,1381
ASSAM,TOTAL,2001,1356,481,817,1480,532,687,5367,2953,575,46,441,5805,59,4,1248,0,36877
BIHAR,ARARIA,2001,47,27,93,79,39,43,161,375,47,0,3,10,11,0,50,0,2069
BIHAR,ARWAL,2001,37,64,0,13,5,8,24,76,7,0,14,209,7,0,14,0,591
BIHAR,AURANGABAD,2001,74,46,16,24,19,28,103,155,28,2,3,25,33,2,19,0,1690
BIHAR,BAGAHA,2001,34,67,25,56,1,9,115,67,15,0,6,343,0,0,2,0,912
BIHAR,BANKA,2001,93,16,34,27,49,39,73,196,3,0,4,8,9,0,16,0,1386
BIHAR,BEGUSARAI,2001,124,77,13,53,18,67,265,147,26,0,6,65,21,0,21,0,2628
BIHAR,BETTIAH,2001,66,9,20,84,8,32,265,340,33,1,21,842,17,0,54,8,2796
BIHAR,BHABHUA,2001,41,25,10,43,34,26,184,186,23,0,21,92,8,0,22,0,1368
BIHAR,BHAGALPUR,2001,128,73,35,66,22,55,370,171,47,1,13,9,20,0,52,0,2634
BIHAR,BHOJPUR,2001,135,33,22,46,32,49,214,240,31,0,0,515,23,4,29,0,2806
BIHAR,BUXAR,2001,56,38,8,34,49,34,179,189,57,0,18,39,15,0,0,0,1674
BIHAR,DARBHANGA,2001,53,64,19,39,29,37,103,142,31,38,17,0,37,0,34,0,2572
BIHAR,GAYA,2001,200,170,25,66,100,114,416,417,79,0,23,292,26,0,24,0,3182
BIHAR,GOPALGANJ,2001,107,92,13,59,32,73,153,227,75,0,6,42,22,2,155,0,2098
BIHAR,JAMALPUR RLY.,2001,7,0,1,4,9,13,117,0,3,0,0,0,0,0,1,0,225
BIHAR,JAMUI,2001,67,74,10,14,22,14,81,134,7,1,1,225,16,0,15,0,1046
BIHAR,JEHANABAD,2001,73,80,6,35,15,22,121,170,51,0,0,0,25,0,4,0,1353
BIHAR,KATIHAR,2001,60,47,51,49,49,30,146,193,23,5,1,64,6,0,29,0,1811
BIHAR,KATIHAR RLY.,2001,7,0,0,3,18,19,221,9,9,0,0,0,0,0,0,0,417
BIHAR,KHAGARIA,2001,72,27,5,34,6,29,86,167,6,0,1,5,11,0,2,0,895
BIHAR,KISHANGANJ,2001,25,15,22,23,19,10,57,116,5,0,8,4,4,1,39,0,897
BIHAR,LAKHISARAI,2001,61,44,10,30,9,13,79,93,6,0,4,9,6,0,5,0,754
BIHAR,MADHEPURA,2001,56,23,11,49,17,31,69,157,17,1,8,4,6,0,10,0,1062
BIHAR,MADHUBANI,2001,35,65,13,36,24,17,98,195,9,0,4,615,12,0,18,0,2897
BIHAR,MOTIHARI,2001,114,98,44,100,30,79,271,365,103,6,23,112,37,1,47,0,3881
BIHAR,MUNGER,2001,51,108,11,45,6,29,157,218,29,0,12,173,8,0,39,0,1758
BIHAR,MUZAFFARPUR,2001,153,162,73,113,32,135,538,241,94,1,42,103,69,0,141,6,4212
BIHAR,MUZAFFARPUR RLY.,2001,13,3,2,5,4,15,313,13,20,0,1,53,0,0,1,0,538
BIHAR,NALANDA,2001,208,249,40,126,51,97,412,318,34,3,13,611,47,2,54,0,3479
BIHAR,NAUGACHIA,2001,36,65,7,29,15,18,32,56,11,0,1,52,4,0,5,0,570
BIHAR,NAWADAH,2001,77,54,15,42,16,31,66,183,30,0,12,282,17,0,13,1,1515
BIHAR,PATNA,2001,434,581,27,197,91,414,1568,506,331,12,54,354,90,0,152,39,8583
BIHAR,PATNA RLY.,2001,24,21,1,3,18,21,811,11,11,0,0,0,0,0,0,0,1127
BIHAR,PURNEA,2001,104,89,39,64,75,97,227,269,28,3,7,35,8,0,22,0,2054
BIHAR,ROHTAS,2001,127,112,25,72,78,68,317,391,52,2,27,472,36,0,59,0,2961
BIHAR,SAHARSA,2001,36,151,12,27,3,15,56,156,25,0,6,229,7,0,12,0,1066
BIHAR,SAMASTIPUR,2001,107,115,19,75,33,61,247,312,33,0,45,255,11,9,35,29,2853
BIHAR,SARAN,2001,137,70,20,65,69,93,246,309,14,1,43,878,67,0,101,0,3442
BIHAR,SHEIKHPURA,2001,28,1,3,16,16,12,89,136,10,0,3,6,9,0,32,0,804
BIHAR,SHEOHAR,2001,18,0,11,13,7,8,16,38,1,0,0,0,3,0,2,0,428
BIHAR,SITAMARHI,2001,51,5,23,34,24,15,132,218,41,7,7,29,13,0,21,0,1797
BIHAR,SIWAN,2001,116,150,4,51,45,100,112,239,26,0,16,47,32,0,10,0,1853
BIHAR,SUPAUL,2001,41,61,30,26,31,40,129,170,8,0,0,0,7,0,18,0,1672
BIHAR,VAISHALI,2001,110,148,20,90,22,43,262,295,120,1,8,436,59,0,179,0,4076
BIHAR,TOTAL,2001,3643,3419,888,2159,1291,2203,9701,8606,1659,85,502,7544,859,21,1558,83,88432
CHHATTISGARH,BALRAMPUR,2001,13,2,17,1,17,11,21,15,6,0,2,30,1,0,7,0,235
CHHATTISGARH,BILASPUR,2001,99,42,69,20,4,37,690,166,23,0,17,617,7,10,94,0,4353
CHHATTISGARH,BIZAPUR,2001,9,13,4,0,2,6,3,1,0,0,6,11,0,0,0,0,86
CHHATTISGARH,DANTEWARA,2001,83,37,19,11,7,5,64,14,5,0,5,116,1,1,3,0,739
CHHATTISGARH,DHAMTARI,2001,14,6,22,4,2,0,110,22,12,0,1,127,1,5,6,0,996
CHHATTISGARH,DURG,2001,76,66,144,57,9,50,893,48,91,1,35,595,12,38,231,0,6544
CHHATTISGARH,GRP RAIPUR,2001,2,1,0,0,2,9,197,4,2,0,0,8,0,0,1,0,315
CHHATTISGARH,JAGDALPUR,2001,80,35,59,6,2,23,172,35,11,2,12,216,3,2,14,0,1812
CHHATTISGARH,JANJGIR,2001,48,29,29,9,2,25,237,105,23,0,23,556,9,13,116,0,2059
